NAME,TICKER,REGION,SECTOR,SEGMENT,MARKET_CAP,E_VALUE,PRICE,H_REV_GROWTH,H_EPS_GROWTH,H_FCF_GROWTH,H_OP_MARGIN,H_FCF_MARGIN,H_ORGANIC,H_INORGANIC,H_DIVIDENDS,H_REPURCHASES,H_DEBT_AMORTIZATION,H_ROIC,H_DEBT_NET_EBITDA,H_PER,H_EVFCF,H_MAX_DROP,H_CAGR,C_OP_MARGIN,C_FCF_MARGIN,C_ORGANIC,C_INORGANIC,C_DIVIDENDS,C_REPURCHASES,C_DEBT_AMORTIZATION,C_ROIC,C_DEBT_NET_EBIDA,C_PER,C_EVFCF,C_DROP,E_REV_GROWTH,E_EPS_GROWTH,E_FCF_GROWTH,E_OP_MARGIN,E_FCF_MARGIN,E_DEBT_NET_EBITDA,E_PER,E_EVFCF,PRICE_PESIMIST,CY_MOS_PESIMIST,OY_MOS_PESIMIST,5Y_CAGR_PESIMIST,PRICE_NEUTRAL,CY_MOS_NEUTRAL,OY_MOS_NEUTRAL,5Y_CAGR_NEUTRAL,MARGIN,ROIC,M&R,FILTRO_PERMISIVO,PER,FCF,DEBT,RIESGO,OPORTUNIDADES
Alphabet Inc,GOOGL,US,Technology,"Digital Advertising, Cloud Computing, AI","2.119.942,89","2.052.422,89","173,02","0,19","0,28","0,27","0,26","0,21","0,36","0,04","0,01","0,59","0,01","0,29",-2,23,24,"-0,44","0,20","0,33","0,27","0,39","0,03","0,08","0,65","0,00","0,34","-0,6",20,19,"-0,16","0,11","0,14","0,13","0,34","0,28","-0,6",25,25,"319,00","0,05","0,85","0,13","407,00","0,28","1,35","0,19",GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,S/R,SUPEROPORTUNIDAD
ASML Holding NV,ASML,NL,Technology,Semiconductors,"285.966,42","277.668,97","731,74","0,19","0,22","0,32","0,29","0,31","0,14","0,20","0,28","0,33","0,01","0,26","-0,5",27,27,"-0,46","0,22","0,32","0,24","0,17","0,00","0,36","0,07","0,00","0,33","-0,9",28,22,"-0,33","0,12","0,18","0,26","0,37","0,38","-0,9",27,27,"1.437,76","0,09","0,96","0,14","1.610,46","0,22","1,24","0,17",,ASML,,ASML,,ASML,ASML,S/R,OPORTUNIDAD
Markel Group Inc,MKL,US,Financial,Insurance,"24.275,14","26.781,70","1.903,00","0,14","0,20",,"0,12",,,,,,,"0,08","2,4",24,"1,4","-0,30","0,09","0,22",,,,,,,"0,16","2,5",8,"1,5","-0,28","0,11","0,06",,"0,20",,,15,"1,4","3.057,00","0,25","0,81","0,10","3.821,00","0,40","1,00","0,15",MKL,,,MKL,MKL,,,S/R,MANTENER
Meta Platforms Inc,META,US,Technology,"Digital Advertising, AI","1.263.271,30","1.635.225,30","648,00","0,29","0,45","0,39","0,40","0,33","0,39","0,02","0,01","0,54","0,01","0,29","-1,4",23,29,"-0,75","0,23","0,41","0,39","0,34","0,00","0,08","0,69","0,00","0,30","-0,6",27,26,"-0,12","0,13","0,14","0,13","0,41","0,37","-0,6",25,25,"1.150,00","-0,01","0,77","0,12","1.283,00","0,01","0,98","0,15",META,META,META,META,,,META,S/R,MANTENER
Microsoft Corporation,MSFT,US,Technology,"Enterprise Software, Cloud Computing, AI","2.981.175,56","3.012.529,56","401,02","0,11","0,27","0,25","0,36","0,31","0,16","0,33","0,38","0,49","0,09","0,55","-1,1",30,34,"-0,37","0,25","0,45","0,40","0,30","0,71","0,22","0,18","0,00","0,29","-0,2",30,27,"-0,14","0,14","0,18","0,14","0,47","0,39","-0,2",30,30,"664,00","0,01","0,64","0,11","793,00","0,10","0,98","0,15",MSFT,,,MSFT,,MSFT,MSFT,S/R,OPORTUNIDAD
Nvidia Corporation,NVDA,US,Technology,Semiconductors,"2.862.120,00","2.829.180,00","113,50","0,50","0,98","1,00","0,34","0,25","0,08","0,21","0,11","0,76","0,04","0,56","-1,4",39,40,"-0,65","0,71","0,62","0,45","0,03","0,02","0,01","0,69","0,02","1,28","-0,4",27,30,"-0,24","0,22","0,21","0,24","0,59","0,48","-0,4",30,30,"164,00","-0,15","0,45","0,08","224,00","0,01","0,97","0,14",NVDA,NVDA,NVDA,NVDA,NVDA,,NVDA,S/R,OPORTUNIDAD
Airbus SE,AIR,FR,Aerospace and Defense,Commercial Aviation,"147.190,99","142.484,76","188,90","0,02","0,12","0,18","0,05","0,08","0,40","0,05","0,48","0,22","0,21","0,07","-0,7",20,25,"-0,65","0,11","0,07","0,09","0,25","0,04","0,34","0,04","0,07","0,11","-0,9",18,22,"-0,03","0,11","0,23","0,14","0,11","0,10","-0,9",20,20,"310,87","0,00","0,64","0,11","354,04","0,14","0,88","0,13",AIR,,,AIR,AIR,,AIR,S/R,OPORTUNIDAD
Adidas AG,ADS,DE,Consumer Discretionary,Sport Apparel,"45.560,39","49.283,25","261,86","0,04","0,10","0,11","0,07","0,06","0,18","0,04","0,27","0,27","0,29","0,11","0,1",22,23,"-0,72","0,12","0,06","0,06","0,00","0,00","0,08","0,02","0,77","0,09","-0,01",22,35,"-0,30","0,09","0,09","0,17","0,11","0,07","0,1",25,25,"311,95","-0,44","0,19","0,04","472,78","-0,29","0,81","0,13",,,,,ADS,,,LEVE,VENTA TOTAL
Carrefour SA,CA,FR,Retail,,"9.082,54","26.841,59","14,03","0,01","0,01","0,08","0,03","0,02","0,20","0,23","0,19","0,20","0,39","0,06","2,1",10,10,"-0,32","-0,09","0,02","0,04","0,00","0,42","0,18","0,21","0,00","0,05","2,1",5,8,"-0,39","0,02","0,04","-0,03","0,03","0,03","2,1",10,10,"16,62","-0,04","0,19","0,03","25,91","0,51","0,86","0,13",,,,,CA,CA,,S/R,VENTA TOTAL
Ashtead Group plc,AHT,GB,Financial,Leasing,"25.671,75","36.668,25","59,12","0,21","0,25",,"0,22",,,,,,,"0,27","2,1",15,4,"-0,45","0,15","0,19",,,,,,,"0,23","2,1",12,"3,35","-0,31","0,05","0,09",,"0,20",,,15,"2,5","77,32","0,03","0,77","0,06","105,67","0,21","1,00","0,12",,,,,AHT,,,S/R,VENTA TOTAL
Moncler SPA,MONC,IT,Luxury Goods,,"18.653,04","18.237,81","69,64","0,16","0,16","0,15","0,29","0,19","0,08","0,13","0,29","0,07","0,34","0,19","-0,09",25,26,"-0,46","0,15","0,30","0,16","0,13","0,00","0,61","0,00","0,00","0,14","-1,3",25,20,"-0,08","0,09","0,08","0,13","0,30","0,20",-1,25,25,"96,07","-0,04","0,38","0,07","125,21","0,26","0,80","0,12",,,,,,MONC,MONC,S/R,VENTA TOTAL
